type,category,count
地名地址信息,地名地址信息,14397
普通地名,普通地名,13472
综合医院,医疗机构,10684
医疗保健服务,医疗机构,8233
地市级地名,地市级地名,5068
区县级地名,区县级地名,4331
商务住宅,住宅区,3035
住宅区,住宅区,2848
三级甲等医院,医疗机构,2782
住宅小区,住宅区,2659
乡镇级地名,乡镇级地名,1743
购物服务,购物服务,1524
村庄级地名,村庄级地名,1469
交通设施服务,交通设施服务,1448
火车站,火车站,1069
专科医院,医疗机构,810
政府机构及社会团体,政府机构及社会团体,789
政府机关,政府机构及社会团体,665
综合市场,购物服务,611
诊所,医疗机构,584
中餐厅,餐饮服务,480
宾馆酒店,住宿服务,477
餐饮服务,餐饮服务,461
交通地名,交通地名,452
街道级地名,街道级地名,435
传染病医院,医疗机构,431
道路名,道路名,421
住宿服务,住宿服务,400
卫生院,医疗机构,400
便民商店,小型购物服务,400
便利店,小型购物服务,400
公交车站,公共交通,388
公交车站相关,公共交通,388
风景名胜,休闲娱乐服务,357
农副产品市场,购物服务,349
门牌信息,门牌信息,335
楼栋号,楼栋号,322
公司,公司企业,291
医疗保健服务场所,医疗机构,290
公司企业,公司企业,289
地铁站,公共交通,289
超级市场,购物服务,277
产业园区,产业园区,272
省级地名,省级地名,264
超市,购物服务,254
生活服务,生活服务,244
临街院门,临街院门,229
乡镇级政府及事业单位,政府机构及社会团体,212
乡镇以下级政府及事业单位,政府机构及社会团体,190
购物相关场所,购物服务,182
机场相关,交通设施服务,180
飞机场,交通设施服务,179
长途汽车站,交通设施服务,178
商务住宅相关,住宅区,174
医药保健销售店,医药保健销售店,161
药房,医药保健销售店,159
生活服务场所,生活服务,158
科教文化服务,科教文化服务,155
商场,购物服务,154
通行设施,交通设施服务,126
村组级地名,村组级地名,122
住宿服务相关,住宿服务,118
学校,科教文化服务,114
体育休闲服务,体育休闲娱乐服务,112
餐饮相关场所,餐饮服务,93
餐饮相关,餐饮服务,93
家居建材市场,生活服务,91
省直辖市级政府及事业单位,省直辖市级政府及事业单位,90
美容美发店,生活服务,86
服装鞋帽皮具店,购物服务,79
胸科医院,医疗机构,76
政府及社会团体相关,政府机构及社会团体,76
热点地名,普通地名,74
地市级政府及事业单位,地市级政府及事业单位,73
快餐厅,餐饮服务,72
专卖店,购物服务,71
普通商场,购物服务,68
港口码头,交通设施服务,67
购物中心,购物服务,64
公检法机构,政府机构及社会团体,63
公园广场,体育休闲娱乐服务,63
区县级政府及事业单位,政府机构及社会团体,60
洗浴推拿场所,体育休闲娱乐服务,60
过境口岸,过境口岸,56
经济型连锁酒店,住宿服务,53
水产海鲜市场,购物服务,52
旅馆招待所,住宿服务,52
金融保险服务,金融服务,49
楼宇,普通地名,48
中学,科教文化服务,47
道路附属设施,交通设施服务,46
五星级宾馆,住宿服务,45
服务区,交通设施服务,43
高速服务区,交通设施服务,43
建材五金市场,购物服务,43
物流速递,生活服务,40
政府机关相关,政府机构及社会团体,39
交通服务相关,交通设施服务,38
体育休闲服务场所,体育休闲娱乐服务,38
蔬菜市场,购物服务,37
商务写字楼,公司企业,36
邮局,生活服务,36
银行,金融服务,35
家电电子卖场,购物服务,34
小学,科教文化服务,33
特色商业街,购物服务,33
培训机构,科教文化服务,32
城市广场,体育休闲娱乐服务,31
科教文化场所,科教文化服务,30
国家级景点,休闲娱乐服务,30
运动场馆,体育休闲娱乐服务,30
火锅店,餐饮服务,29
三星级宾馆,住宿服务,29
综合酒楼,餐饮服务,28
娱乐场所,休闲娱乐服务,28
自然地名,普通地名,28
果品市场,购物服务,28
四星级宾馆,住宿服务,26
汽车服务,交通设施服务,26
专营店,购物服务,26
工厂,公司企业,26
公园,体育休闲娱乐服务,25
农林牧渔基地,公司企业,25
休闲场所,休闲娱乐服务,24
其它农林牧渔基地,公司企业,24
骨科医院,医疗机构,22
手机销售,购物服务,20
度假疗养场所,休闲娱乐服务,19
海鲜酒楼,餐饮服务,19
社会团体,政府机构及社会团体,19
茶艺馆,餐饮服务,18
健身中心,体育休闲娱乐服务,18
保险公司,金融服务,18
路口名,普通地名,17
[],未知,17
特色,普通地名,17
地方风味餐厅,餐饮服务,17
烟酒专卖店,购物服务,16
汽车维修,生活服务,16
口腔医院,医疗机构,16
社会团体相关,政府机构及社会团体,16
冷饮店,餐饮服务,16
高等院校,学校,15
停车场,交通设施服务,14
丧葬设施,生活服务,14
糕饼店,餐饮服务,14
儿童用品店,购物服务,14
社会治安机构,政府机构及社会团体,14
公共厕所,生活服务,14
公安警察,政府机构及社会团体,13
公证鉴定机构,政府机构及社会团体,13
疗养院,生活服务,12
维修站点,生活服务,12
汽车服务相关,生活服务,12
商住两用楼宇,公司企业,12
宿舍,住宅区,12
加油站,生活服务,12
花鸟鱼虫市场,购物服务,12
家具城,购物服务,11
电讯营业厅,购物服务,11
临街院正门,普通地名,11
检察院,政府机构及社会团体,10
中介机构,购物服务,10
山,休闲娱乐服务,10
厨卫市场,购物服务,10
花卉市场,购物服务,10
法院,政府机构及社会团体,10
轮渡站,交通设施服务,10
汽车销售,购物服务,10
咖啡厅,餐饮服务,9
职业技术学校,科教文化服务,9
步行街,购物服务,9
妇科医院,医疗机构,9
KTV,休闲娱乐服务,9
进站口,交通设施服务,9
检票口,交通设施服务,9
科研机构,科教文化服务,8
华润,公司企业,8
数码电子,公司企业,8
眼科医院,医疗机构,8
家乐福,购物服务,8
布艺市场,购物服务,8
海滩,休闲娱乐服务,8
寺庙道观,宗教机构,8
肿瘤医院,医疗机构,8
急救中心,医疗机构,8
农村商业银行,金融服务,7
度假村,休闲娱乐服务,7
网吧,休闲娱乐服务,7
公共停车场,交通设施服务,7
自动提款机,金融服务,7
公共设施,生活服务,7
疾病预防机构,医疗机构,7
疾病预防,医疗机构,7
桥,交通设施服务,7
个人用品,购物服务,7
化妆品店,购物服务,7
其它个人用品店,购物服务,7
山东菜(鲁菜),餐饮服务,7
体育用品店,购物服务,6
别墅,住宅区,6
中国邮政储蓄银行,金融服务,6
沃尔玛,购物服务,6
书店,购物服务,6
医药公司,公司企业,6
幼儿园,科教文化服务,6
岛屿,普通地名,6
游乐场,休闲娱乐服务,6
洗衣店,生活服务,6
彩票彩券销售点,购物服务,6
殡仪馆,生活服务,6
汽车养护,购物服务,6
汽车配件销售,购物服务,6
收费站,交通设施服务,6
中国建设银行,金融服务,6
星巴克咖啡,餐饮服务,5
水族馆,休闲娱乐服务,5
中国电信营业厅,购物服务,5
货运港口码头,交通设施服务,5
建筑公司,公司企业,5
风景名胜相关,休闲娱乐服务,5
旅游景点,休闲娱乐服务,5
肯德基,餐饮服务,5
跆拳道场馆,科教文化服务,5
品牌服装店,购物服务,4
四川菜(川菜),餐饮服务,4
旅行社,购物服务,4
中国农业银行ATM,金融服务,4
公墓,休闲娱乐服务,4
摄影冲印店,购物服务,4
摄影冲印,购物服务,4
中国农业银行,金融服务,4
建筑物门,交通设施服务,4
摩托车维修,购物服务,4
文艺团体,政府机构及社会团体,4
货运火车站,交通设施服务,4
专用停车场,交通设施服务,4
工商税务机构,政府机构及社会团体,4
会展中心,政府机构及社会团体,4
人才市场,政府机构及社会团体,4
高速路入口,交通设施服务,4
其它能源站,交通设施服务,4
二手车交易,购物服务,4
广告装饰,购物服务,3
酒吧,餐饮服务,3
珠宝首饰工艺品,购物服务,3
棋牌室,休闲娱乐服务,3
摩托车服务,购物服务,3
游泳馆,休闲娱乐服务,3
客运港,交通设施服务,3
眼镜店,购物服务,3
外国餐厅,餐饮服务,3
道路门牌,普通地点,3
滑雪场,体育休闲娱乐服务,3
装饰,购物服务,3
小商品市场,购物服务,3
社区中心,生活服务,3
中国工商银行,金融服务,3
中国石油,交通设施服务,3
出入口,交通设施服务,3
行业协会,政府机构及社会团体,3
影剧院,休闲娱乐服务,3
电影院,休闲娱乐服务,3
博物馆,休闲娱乐服务,2
事务所,政府机构及社会团体,2
律师事务所,生活服务,2
婴儿服务场所,生活服务,2
婴儿游泳馆,生活服务,2
建筑物正门,普通地点,2
特殊买卖场所,购物服务,2
典当行,购物服务,2
路边停车场,交通设施服务,2
充电站,交通设施服务,2
海湾海峡,普通地点,2
大众特约销售,购物服务,2
大众特约维修,购物服务,2
高速路出口,交通设施服务,2
湖泊,普通地点,2
中国移动营业厅,购物服务,2
电信公司,公司企业,2
交通车辆管理,交通设施服务,2
美术馆,休闲娱乐服务,2
中国人寿保险公司,金融服务,2
教堂,政府机构及社会团体,2
公检法机关,政府机构及社会团体,2
冶金化工,公司企业,2
摩托车销售,购物服务,2
中信银行,金融服务,2
清真菜馆,餐饮服务,2
电力营业厅,政府机构及社会团体,2
驾校,科教文化服务,2
加气站,交通设施服务,2
医疗保健用品,医疗机构,2
物流仓储场地,公司企业,2
免税品店,购物服务,2
东北菜,餐饮服务,2
传媒机构,购物服务,2
文化用品店,购物服务,2
荣威销售,购物服务,2
荣威维修,购物服务,2
游戏厅,休闲娱乐服务,1
动物医疗场所,医疗机构,1
宠物诊所,医疗机构,1
世界遗产,普通地点,1
共享设备,普通地点,1
充电宝,普通地点,1
机场货运处,交通设施服务,1
外地政府办,政府机构及社会团体,1
车渡口,交通设施服务,1
省级景点,休闲娱乐服务,1
必胜客,餐饮服务,1
纪念馆,休闲娱乐服务,1
一汽-大众销售,购物服务,1
一汽-大众维修,购物服务,1
自行车专卖店,购物服务,1
交通执法站,交通设施服务,1
商业贸易,购物服务,1
红色景区,休闲娱乐服务,1
消防机关,政府机构及社会团体,1
品牌鞋店,购物服务,1
阿迪达斯专卖店,购物服务,1
中国银行ATM,金融服务,1
交通银行ATM,金融服务,1
西北菜,餐饮服务,1
麦当劳,餐饮服务,1
韩国料理,餐饮服务,1
林场,普通地点,1
钟表店,购物服务,1
迪厅,休闲娱乐服务,1
中国邮政储蓄银行ATM,金融服务,1
中国民生银行,金融服务,1
灯具瓷器市场,购物服务,1
屈臣氏,购物服务,1
立交桥,交通设施服务,1
中国石化,交通设施服务,1
土特产专卖店,购物服务,1
上海大众销售,购物服务,1
上海大众维修,购物服务,1
台球厅,休闲娱乐服务,1
宝马特约销售,购物服务,1
宝马销售,购物服务,1
宝马特约维修,购物服务,1
宝马维修,购物服务,1
潮州菜,餐饮服务,1
茶餐厅,餐饮服务,1
停车场相关,交通设施服务,1
耐克专卖店,购物服务,1
售票处,购物服务,1
长途汽车票代售点,交通设施服务,1
车辆管理机构,政府机构及社会团体,1
